x;y;z
-0.0618621;-0.207996;0.926797
-0.06108;-0.174919;0.915392
-0.0591178;-0.129153;0.898983
-0.0575379;-0.0954313;0.885852
-0.0572339;-0.0544718;0.880787
-0.0579758;-0.0151416;0.87335
-0.0603339;0.0124925;0.86809
-0.0640312;0.0376581;0.859309
-0.0723176;0.0720686;0.850797
-0.0739203;0.0836167;0.854131
-0.072584;0.11604;0.869137
-0.0685688;0.125297;0.876638
-0.065486;0.12817;0.892402
-0.0616611;0.117184;0.922595
-0.0601251;0.0939726;0.943658
-0.0601412;0.0872303;0.955104
-0.0594462;0.046117;0.977671
-0.0583445;0.0119067;0.993422
-0.0566921;-0.0228221;0.997813
-0.0553704;-0.0440903;1.01869
-0.0513829;-0.0779446;1.03022
-0.0499633;-0.0848401;1.03088
-0.0412951;-0.117113;1.03121
-0.0296599;-0.149694;1.04395
-0.0245948;-0.161256;1.0499
-0.00962292;-0.174584;1.03964
0.00149099;-0.179512;1.04106
0.00645401;-0.181954;1.04264
0.015149;-0.184009;1.02969
0.0158815;-0.179199;1.02857
0.0175174;-0.156539;1.03202
0.0164807;-0.128935;1.03371
0.0141192;-0.111538;1.03466
0.00808544;-0.0862788;1.01534
0.00563097;-0.0750411;1.01139
-0.000288844;-0.0402025;0.995283
-0.00643791;-0.0158978;0.982568
-0.0122621;-0.0023785;0.963613
-0.021442;0.0147595;0.950071
-0.0242225;0.0226162;0.925129
-0.0253517;0.0294204;0.902729
-0.0250684;0.0439812;0.895731
-0.0233018;0.0503522;0.888884
-0.0176458;0.0599175;0.893823
-0.0128753;0.0658411;0.899362
-0.00868332;0.0709248;0.914985
-0.00152686;0.0713184;0.934504
0.00267068;0.0655781;0.945091
0.00680821;0.0581695;0.966582
0.0102249;0.0474348;0.98019
0.0131001;0.0385587;0.989532
0.0242229;0.00975698;0.997409
0.0328525;-0.00896715;0.997947
0.054218;-0.04915;1.01001
0.0615157;-0.0708923;1.00432
0.0678075;-0.0991723;0.996753
0.0748011;-0.123292;1.00048
0.0797232;-0.136036;1.0056
0.0815324;-0.140684;0.998035
0.0831233;-0.145258;0.99272
0.0855033;-0.151267;0.997982
0.0850318;-0.150312;1.00562
0.0704009;-0.145703;0.990246
0.0513144;-0.108031;0.975886
0.0392267;-0.0818818;0.965143
0.0194929;-0.033854;0.936991
0.00883457;0.00261804;0.920665
8.95907e-05;0.0367627;0.90809
-0.00899371;0.0763228;0.896003
-0.0161982;0.11008;0.881759
-0.0225505;0.148665;0.877517
-0.0242148;0.161161;0.878876
-0.0337374;0.201614;0.883697
-0.0400938;0.222508;0.903856
-0.0423506;0.234513;0.920518
-0.0433772;0.244328;0.942016
-0.036631;0.21718;0.967169
-0.0293972;0.196188;0.977801
-0.0108632;0.152662;1.00465
-0.00622939;0.134852;1.01195
-0.00138691;0.101294;1.03029
-0.000428326;0.0616446;1.03867
-2.7105e-05;0.0475482;1.04532
0.000716181;0.0208291;1.05018
0.00255516;0.00370108;1.05681
0.00474073;-0.000902791;1.05563
0.0124138;-0.0113901;1.08085
0.0160258;-0.0167046;1.08613
0.0202527;-0.0233263;1.07352
0.024714;-0.0277083;1.07153
0.0297834;-0.0299381;1.08888
0.0338737;-0.0252068;1.07996
0.0358893;-0.0177099;1.08464
0.0389115;-0.00567273;1.093
0.0465639;0.0126896;1.10449
0.0501591;0.0192652;1.09962
0.0660807;0.0349383;1.13519
0.0728328;0.0384506;1.10376
0.0824658;0.0397081;1.09826
0.0910841;0.0363675;1.09467
0.0935784;0.0314691;1.07786
0.0944777;0.0295028;1.06641
0.0972026;0.0262245;1.05787
0.0980331;0.0225286;1.04386
0.0930045;0.0165994;1.03565
0.0800314;0.00863254;1.04263
0.0713129;0.00511938;1.03227
0.0523458;-0.00651989;1.01866
0.0329754;-0.018401;1.02412
0.00791884;-0.0296595;1.02399
-0.00429209;-0.0349965;1.02304
-0.0285578;-0.0450612;1.01672
-0.0465286;-0.048429;1.02315
-0.0670866;-0.0500357;1.03198
-0.115548;-0.0509277;1.05824
-0.123948;-0.0499916;1.05118
-0.159533;-0.0489358;1.05961
-0.189488;-0.0544329;1.05393
-0.202873;-0.0613994;1.0496
-0.20615;-0.0634972;1.04247
-0.224712;-0.0717602;1.03477
-0.231473;-0.0753659;1.03656
-0.248059;-0.0800307;1.03874
-0.257234;-0.077083;1.0457
-0.25808;-0.0700374;1.0363
-0.251717;-0.0540688;1.04344
-0.247551;-0.0481455;1.05744
-0.214704;-0.0271539;1.0692
-0.207631;-0.0235098;1.07127
